Madden_Year,Athlete,Position,Team,Team_Abbr
2006,Donovan McNabb,QB,Philadelphia Eagles,PHI
2007,Shaun Alexander,RB,Seattle Seahawks,SEA
2008,Vince Young,QB,Tennessee Titans,TEN
2009,Brett Favre,QB,Green Bay Packers,GB
2010,Troy Polamalu / Larry Fitzgerald,S / WR,Pittsburgh Steelers / Arizona Cardinals,PIT
2011,Drew Brees,QB,New Orleans Saints,NO
2012,Peyton Hillis,RB,Cleveland Browns,CLE
2013,Calvin Johnson,WR,Detroit Lions,DET
2014,Adrian Peterson,RB,Minnesota Vikings,MIN
2015,Richard Sherman,CB,Seattle Seahawks,SEA
2016,Odell Beckham Jr.,WR,New York Giants,NYG
2017,Rob Gronkowski,TE,New England Patriots,NE
2018,Tom Brady,QB,New England Patriots,NE
2019,Antonio Brown,WR,Pittsburgh Steelers,PIT
2020,Patrick Mahomes,QB,Kansas City Chiefs,KC
2021,Lamar Jackson,QB,Baltimore Ravens,BAL
2022,Patrick Mahomes / Tom Brady,QB / QB,Kansas City Chiefs / Tampa Bay Buccaneers,KC
2024,Josh Allen,QB,Buffalo Bills,BUF
2025,Christian McCaffrey,RB,San Francisco 49ers,SF
2026,Saquon Barkley,RB,Philadelphia Eagles,PHI
